"Participant","Stimulus","Trial_dur","Tracking_ratio","Trial","Blank_fix_count","Blank_fix_time","Blanks_fix_time_pct","Image_fix_count","Image_fix_time","Image_fix_time_pct","Text_fix_count","Text_fix_time","Text_fix_time_pct","Fix_count","Total_fix_dur","Saccade_count","Total_saccade_dur","Total_saccade_amp","Total_saccade_velocity","Blink_count","Condition","max_text_time","ws_Text","ws_Image","ws_dash","Text_Image","Text_ws","Text_dash","Image_Text","Image_ws","Image_dash","dash_Image","dash_Text","dash_ws","weighted_text_image","weighted_alt","total_alt","Version"
"Y44","13 partially separated.jpg",22883.5,91.6,"Trial007",1,317.1,1.4,20,4941.2,21.6,37,13020.8,56.9,58,18279.1,53,2003.3,162.8,4057.2,9,"partial",4358.7,16,1,0,5,15,1,5,2,0,0,1,0,2.34507678410117,33.5239385727191,48,3
"Y44","14-15 partially separated.jpg",16227.7,91.2,"Trial008",0,0,0,4,942.5,5.8,40,12744.8,78.5,44,13687.3,43,936.1,93.9,3859,5,"partial",8233.1,1,0,0,2,1,4,1,0,0,0,4,0,0.998789346246973,9.49878934624697,15,3
"Y46","2-3 standard.jpg",36274.4,56.9,"Trial001",19,2871.1,7.9,20,5625.1,15.5,17,4064,11.2,59,12910.6,56,3473.7,362.4,5163.7,26,"standard",768.2,10,6,11,6,6,7,1,9,3,2,8,11,3.20759493670886,48.7987341772152,82,3
"Y46","4 standard.jpg",21499.6,40,"Trial002",8,1403.3,6.5,0,0,0,15,3727.6,17.3,23,5130.9,18,1171.5,275.3,2735.9,13,"standard",1302.6,6,5,2,4,8,9,7,2,0,0,9,2,0.310126582278481,23.3955696202532,56,3
"Y46","5 standard.jpg",17804,34.8,"Trial003",11,1745.8,9.8,3,542.2,3,0,0,0,22,3857,17,1384.1,191.8,2854.9,14,"standard",0,0,4,3,0,0,0,0,4,2,1,0,3,0,10.325,19,3
"Y46","6-7 standard.jpg",59050.2,62.3,"Trial004",33,9528.8,16.1,51,11527,19.5,25,5492.2,9.3,110,26915.2,94,5870,682,8742.8,30,"standard",1035.4,5,39,8,7,7,15,10,38,8,10,14,7,1.13594611145132,87.5021432945499,170,3
"Y46","8-9 partially separated.jpg",36884,74.2,"Trial005",24,4670,12.7,22,4830.5,13.1,30,12771.4,34.6,79,22856.2,75,3761.6,466.8,5905.7,15,"partial",8667.3,4,8,6,0,4,10,0,8,2,2,10,6,0,26.1210795040117,62,3
"Y46","12 partially separated.jpg",25728.4,28.3,"Trial006",4,870.5,3.4,6,555.1,2.2,3,450.8,1.8,13,1876.3,11,762.9,289.2,3950.6,20,"partial",200.4,1,3,0,0,2,4,1,1,3,3,4,0,0,9.51260504201681,24,3
"Y46","13 partially separated.jpg",25230.2,0,"Trial007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"partial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
"Y46","14-15 partially separated.jpg",26949.4,1.5,"Trial008",0,0,0,2,216.4,0.8,0,0,0,2,216.4,3,100,24.1,581.2,5,"partial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
